,Title,Release Date,Color,Genre,Language,Country,Rating,Lead Actor,Director Name,Lead Actor FB Likes,Cast FB Likes,Director FB Likes,Movie FB Likes,Score,Total Reviews,Duration,Gross Revenue,Budget,Z_Score,Softmax_Score
136,The Verdict,11-02-1982,Color,Drama,English,USA,R,Charlotte Rampling,Sidney Lumet,844.0,2330,0,0,7.8,79.0,129.0,54000000,16000000,0.805194805194805,0.0006450147720985165
137,Tootsie,19-10-1982,Color,Comedy,English,USA,PG,Bill Murray,Sydney Pollack,13000.0,14701,521,0,7.4,94.0,116.0,177200000,22000000,0.7532467532467533,0.0004323663317267452
138,Flashdance,01-01-1983,Color,Drama,English,USA,R,Michael Nouri,Adrian Lyne,225.0,791,213,0,6.1,51.0,95.0,94900000,4000000,0.5844155844155844,0.00011783357163302848
139,Lone Wolf McQuade,20-07-1983,Color,Action,English,USA,PG,David Carradine,Steve Carver,926.0,2383,8,0,6.3,29.0,107.0,12200000,5000000,0.6103896103896103,0.00014392224939644498
140,National Lampoon's Vacation,27-06-1983,Color,Adventure,English,USA,R,Beverly D'Angelo,Harold Ramis,816.0,3617,11000,0,7.4,55.0,98.0,61400000,15000000,0.7532467532467533,0.0004323663317267452
141,Never Say Never Again,23-04-1983,Color,Action,English,UK,PG,Bernie Casey,Irvin Kershner,180.0,762,883,0,6.2,89.0,121.0,55500000,36000000,0.5974025974025973,0.00013022623654180673
142,Octopussy,19-01-1983,Color,Action,English,UK,PG,Louis Jourdan,John Glen,594.0,1898,46,0,6.6,106.0,131.0,67900000,27500000,0.6493506493506492,0.0001942747159539413
143,Scarface,05-03-1983,Color,Crime,English,USA,R,Al Pacino,Brian De Palma,14000.0,16464,0,19000,8.3,147.0,142.0,44700000,25000000,0.8701298701298702,0.0010634495746746208
144,Star Wars: Episode VI - Return of the Jedi,24-12-1983,Color,Action,English,USA,PG,Harrison Ford,Richard Marquand,11000.0,13649,37,14000,8.4,197.0,134.0,309125409,32500000,0.8831168831168831,0.001175293542770307
145,Superman III,18-08-1983,Color,Action,English,UK,PG,Margot Kidder,Richard Lester,593.0,2329,44,0,4.9,95.0,125.0,60000000,39000000,0.42857142857142855,3.549078974481005e-05
146,The Outsiders,21-02-1983,Color,Crime,English,USA,PG-13,Tom Cruise,Francis Ford Coppola,10000.0,12097,0,10000,7.2,60.0,114.0,25600000,10000000,0.7272727272727271,0.00035399161238020254
147,The Right Stuff,23-03-1983,Color,Adventure,English,USA,PG,Dennis Quaid,Philip Kaufman,2000.0,6341,133,0,7.9,80.0,193.0,21500000,27000000,0.8181818181818181,0.0007128515678524725
148,Twilight Zone: The Movie,12-01-1983,Color,Fantasy,English,USA,PG,Albert Brooks,Joe Dante,745.0,1954,287,0,6.5,78.0,101.0,29500000,10000000,0.6363636363636364,0.00017578703237343372
149,WarGames,28-06-1983,Color,Sci-Fi,English,USA,PG,Matthew Broderick,John Badham,2000.0,4537,139,0,7.1,84.0,114.0,79568000,12000000,0.7142857142857142,0.00032030485655248854
150,Yentl,30-10-1983,Color,Drama,English,UK,PG,Miriam Margolyes,Barbra Streisand,405.0,914,0,0,6.6,16.0,132.0,30400000,12000000,0.6493506493506492,0.0001942747159539413
151,A Nightmare on Elm Street,13-04-1984,Color,Horror,English,USA,X,Johnny Depp,Wes Craven,40000.0,42918,0,10000,7.5,256.0,101.0,26505000,1800000,0.7662337662337662,0.0004778386957794468
152,A Passage to India,24-12-1984,Color,Adventure,English,UK,PG,Richard Wilson,David Lean,358.0,1334,767,845,7.4,52.0,164.0,26400000,16000000,0.7532467532467533,0.0004323663317267452
153,Amadeus,19-02-1984,Color,Biography,English,USA,R,Jeffrey Jones,Milos Forman,692.0,3076,869,16000,8.3,134.0,180.0,51600000,18000000,0.8701298701298702,0.0010634495746746208
154,Beverly Hills Cop,04-02-1984,Color,Action,English,USA,R,Judge Reinhold,Martin Brest,901.0,3464,102,0,7.3,94.0,105.0,234760500,14000000,0.7402597402597401,0.0003912212352453071
155,Conan the Destroyer,14-06-1984,Color,Action,English,USA,PG,Mako,Richard Fleischer,691.0,2481,130,2000,5.8,77.0,103.0,26400000,18000000,0.5454545454545453,8.729325687375192e-05
156,Dune,10-09-1984,Color,Action,English,USA,PG-13,Virginia Madsen,David Lynch,913.0,2449,0,11000,6.6,144.0,177.0,27400000,40000000,0.6493506493506492,0.0001942747159539413
157,Firestarter,20-09-1984,Color,Action,English,USA,R,Heather Locklear,Mark L. Lester,695.0,3444,73,0,6.0,45.0,114.0,15100000,15000000,0.5714285714285714,0.00010662022471438481
158,Footloose,06-04-1984,Color,Drama,English,USA,PG,Dianne Wiest,Herbert Ross,967.0,1962,71,0,6.5,60.0,107.0,80000000,8200000,0.6363636363636364,0.00017578703237343372
159,Friday the 13th: The Final Chapter,21-02-1984,Color,Horror,English,USA,R,Judie Aronson,Joseph Zito,158.0,467,17,0,5.9,166.0,97.0,32600000,1800000,0.5584415584415584,9.647396884097779e-05
160,Gremlins,25-10-1984,Color,Comedy,English,USA,PG,Phoebe Cates,Joe Dante,767.0,2053,287,14000,7.2,183.0,106.0,148170000,11000000,0.7272727272727271,0.00035399161238020254
161,Indiana Jones and the Temple of Doom,30-10-1984,Color,Action,English,USA,PG,Harrison Ford,Steven Spielberg,11000.0,11898,14000,0,7.6,148.0,118.0,179870271,28000000,0.7792207792207791,0.0005280934301066412
162,Once Upon a Time in America,23-09-1984,Color,Crime,English,Italy,R,Robert De Niro,Sergio Leone,22000.0,24719,0,12000,8.4,111.0,251.0,5300000,30000000,0.8831168831168831,0.001175293542770307
163,Police Academy,05-04-1984,Color,Comedy,English,USA,R,Steve Guttenberg,Hugh Wilson,801.0,3113,37,0,6.7,45.0,96.0,81200000,4500000,0.6623376623376622,0.00021470676618970307
164,Splash,08-10-1984,Color,Comedy,English,USA,PG,Tom Hanks,Ron Howard,15000.0,15361,2000,0,6.2,43.0,111.0,69800000,8000000,0.5974025974025973,0.00013022623654180673
165,Star Trek III: The Search for Spock,12-10-1984,Color,Action,English,USA,PG,Leonard Nimoy,Leonard Nimoy,12000.0,14762,12000,0,6.6,110.0,105.0,76400000,17000000,0.6493506493506492,0.0001942747159539413
166,The Bounty,18-02-1984,Color,Action,English,UK,PG,Liam Neeson,Roger Donaldson,14000.0,28094,79,1000,7.0,29.0,132.0,8600000,25000000,0.7012987012987012,0.0002898238193873322
167,The Cotton Club,20-11-1984,Color,Crime,English,USA,R,Nicolas Cage,Francis Ford Coppola,12000.0,18793,0,828,6.5,36.0,123.0,25900000,58000000,0.6363636363636364,0.00017578703237343372
168,The Hotel New Hampshire,05-10-1984,Color,Comedy,English,UK,R,Joely Richardson,Tony Richardson,584.0,2024,62,345,6.0,9.0,109.0,5100000,7500000,0.5714285714285714,0.00010662022471438481
169,The Karate Kid,17-10-1984,Color,Action,English,USA,PG,Martin Kove,John G. Avildsen,668.0,2004,80,0,7.2,81.0,126.0,90800000,8000000,0.7272727272727271,0.00035399161238020254
170,The Terminator,07-09-1984,Color,Action,English,UK,R,Michael Biehn,James Cameron,2000.0,3582,0,13000,8.1,204.0,107.0,38400000,6500000,0.844155844155844,0.0008706788711338108
171,A Nightmare on Elm Street 2: Freddy's Revenge,28-03-1985,Color,Fantasy,English,USA,R,Clu Gulager,Jack Sholder,426.0,1472,28,0,5.4,138.0,87.0,30000000,2200000,0.49350649350649345,5.85144199662143e-05
172,A Room with a View,16-11-1985,Color,Drama,English,UK,Unrated,Julian Sands,James Ivory,687.0,1665,133,0,7.4,55.0,117.0,20966644,3000000,0.7532467532467533,0.0004323663317267452
173,A View to a Kill,06-04-1985,Color,Action,English,UK,PG,Patrick Macnee,John Glen,1000.0,2943,46,0,6.3,108.0,131.0,50300000,30000000,0.6103896103896103,0.00014392224939644498
174,Back to the Future,05-12-1985,Color,Adventure,English,USA,PG,Lea Thompson,Robert Zemeckis,1000.0,3230,0,39000,8.5,198.0,116.0,210609762,19000000,0.8961038961038961,0.0012989002436718403
175,Brazil,17-02-1985,Color,Drama,English,UK,R,Robert De Niro,Terry Gilliam,22000.0,29475,0,16000,8.0,230.0,142.0,9929000,15000000,0.8311688311688311,0.0007878228216951816
176,Friday the 13th: A New Beginning,24-07-1985,Color,Horror,English,USA,R,Tiffany Helm,Danny Steinmann,42.0,170,13,1000,4.7,160.0,92.0,21300000,2200000,0.40259740259740256,2.9057401015100643e-05
177,Mad Max Beyond Thunderdome,04-11-1985,Color,Action,English,Australia,PG-13,Tina Turner,George Miller,794.0,1529,750,0,6.2,117.0,107.0,36200000,12305523,0.5974025974025973,0.00013022623654180673
178,Out of Africa,28-11-1985,Color,Biography,English,USA,PG,Meryl Streep,Sydney Pollack,11000.0,12518,521,0,7.2,66.0,161.0,87100000,31000000,0.7272727272727271,0.00035399161238020254
179,Pale Rider,22-01-1985,Color,Western,English,USA,R,Clint Eastwood,Clint Eastwood,16000.0,17209,16000,0,7.3,38.0,115.0,41400000,6900000,0.7402597402597401,0.0003912212352453071
180,Rambo: First Blood Part II,06-12-1985,Color,Action,English,USA,R,Sylvester Stallone,George P. Cosmatos,13000.0,15662,170,0,6.4,96.0,96.0,150415432,44000000,0.6233766233766234,0.00015905868449698146
181,Silverado,18-12-1985,Color,Action,English,USA,PG-13,Scott Glenn,Lawrence Kasdan,826.0,1154,759,0,7.2,46.0,133.0,33200000,26000000,0.7272727272727271,0.00035399161238020254
182,The Color Purple,14-07-1985,Color,Drama,English,USA,PG-13,Oprah Winfrey,Steven Spielberg,852.0,2592,14000,6000,7.8,70.0,154.0,94175854,15000000,0.805194805194805,0.0006450147720985165
183,The Last Dragon,26-07-1985,Color,Action,English,USA,PG-13,Mike Starr,Michael Schultz,854.0,3394,78,0,6.9,55.0,109.0,33000000,10000000,0.6883116883116883,0.00026224343641975407
184,Witness,22-01-1985,Color,Crime,English,USA,R,Harrison Ford,Peter Weir,11000.0,22479,608,0,7.4,83.0,112.0,65500000,12000000,0.7532467532467533,0.0004323663317267452
185,Young Sherlock Holmes,18-05-1985,Color,Adventure,English,USA,PG-13,Nicholas Rowe,Barry Levinson,155.0,605,272,0,6.8,64.0,109.0,4250320,18000000,0.6753246753246751,0.00023728767390692747
186,9Â½ Weeks,18-03-1986,Color,Drama,English,USA,R,David Margulies,Adrian Lyne,567.0,711,213,0,5.9,38.0,112.0,6734844,17000000,0.5584415584415584,9.647396884097779e-05
187,Aliens,26-07-1986,Color,Action,English,USA,R,Michael Biehn,James Cameron,2000.0,4228,0,18000,8.4,250.0,154.0,85200000,18500000,0.8831168831168831,0.001175293542770307
188,April Fool's Day,07-09-1986,Color,Horror,English,USA,R,Thomas F. Wilson,Fred Walton,690.0,1160,17,0,6.2,96.0,89.0,12947763,5000000,0.5974025974025973,0.00013022623654180673
189,Big Trouble in Little China,27-05-1986,Color,Action,English,USA,PG-13,Victor Wong,John Carpenter,400.0,896,0,19000,7.3,180.0,99.0,11100000,25000000,0.7402597402597401,0.0003912212352453071
190,Crocodile Dundee,11-10-1986,Color,Adventure,English,Australia,PG-13,Paul Hogan,Peter Faiman,442.0,822,4,0,6.5,35.0,93.0,174635000,8800000,0.6363636363636364,0.00017578703237343372
191,Highlander,24-08-1986,Color,Action,English,UK,R,Christopher Lambert,Russell Mulcahy,1000.0,1852,85,0,7.2,112.0,110.0,5900000,16000000,0.7272727272727271,0.00035399161238020254
192,Howard the Duck,12-12-1986,Color,Action,English,USA,PG,Lea Thompson,Willard Huyck,1000.0,3000,8,0,4.6,81.0,110.0,16295774,35000000,0.3896103896103895,2.6292223709339124e-05
193,Invaders from Mars,08-09-1986,Color,Horror,English,USA,PG,Louise Fletcher,Tobe Hooper,425.0,1661,365,902,5.5,52.0,100.0,4884663,12000000,0.5064935064935064,6.466843523472504e-05
194,Jason Lives: Friday the 13th Part VI,16-06-1986,Color,Horror,English,USA,R,Tony Goldwyn,Tom McLoughlin,956.0,1862,41,0,5.9,158.0,86.0,19472057,3000000,0.5584415584415584,9.647396884097779e-05
195,Legal Eagles,08-08-1986,Color,Comedy,English,USA,PG,Brian Dennehy,Ivan Reitman,954.0,2179,425,263,5.9,16.0,116.0,49851591,40000000,0.5584415584415584,9.647396884097779e-05
196,Little Shop of Horrors,01-03-1986,Color,Comedy,English,USA,PG-13,Bill Murray,Frank Oz,13000.0,15308,0,0,6.9,63.0,102.0,38747385,25000000,0.6883116883116883,0.00026224343641975407
197,Peggy Sue Got Married,30-11-1986,Color,Comedy,English,USA,PG-13,Nicolas Cage,Francis Ford Coppola,12000.0,14672,0,0,6.3,44.0,103.0,41382841,18000000,0.6103896103896103,0.00014392224939644498
198,Platoon,05-05-1986,Color,Drama,English,UK,R,Johnny Depp,Oliver Stone,40000.0,42028,0,9000,8.1,120.0,120.0,137963328,6000000,0.844155844155844,0.0008706788711338108
199,River's Edge,08-08-1986,Black and White,Crime,English,USA,R,Keanu Reeves,Tim Hunter,18000.0,19649,28,0,7.1,45.0,99.0,4600000,1900000,0.7142857142857142,0.00032030485655248854
200,Shanghai Surprise,13-11-1986,Color,Adventure,English,UK,PG-13,Victor Wong,Jim Goddard,400.0,805,3,154,3.0,21.0,97.0,2315683,17000000,0.18181818181818177,5.308308417252094e-06
201,She's Gotta Have It,24-01-1986,Black and White,Comedy,English,USA,R,S. Epatha Merkerson,Spike Lee,539.0,708,0,406,6.5,26.0,88.0,7137502,175000,0.6363636363636364,0.00017578703237343372
202,Stand by Me,26-04-1986,Color,Adventure,English,USA,R,Marshall Bell,Rob Reiner,217.0,644,0,24000,8.1,99.0,89.0,52287414,8000000,0.844155844155844,0.0008706788711338108
203,Star Trek IV: The Voyage Home,02-08-1986,Color,Adventure,English,USA,PG,Leonard Nimoy,Leonard Nimoy,12000.0,15449,12000,0,7.3,106.0,119.0,109713132,25000000,0.7402597402597401,0.0003912212352453071
204,The Clan of the Cave Bear,05-04-1986,Color,Adventure,English,USA,R,Curtis Armstrong,Michael Chapman,876.0,1351,70,843,5.3,21.0,98.0,1953732,15000000,0.4805194805194804,5.2946036680101127e-05
205,The Color of Money,18-11-1986,Color,Drama,English,USA,R,Tom Cruise,Martin Scorsese,10000.0,11895,17000,0,7.0,59.0,119.0,52293982,13800000,0.7012987012987012,0.0002898238193873322
206,The Golden Child,16-05-1986,Color,Action,English,USA,PG-13,Victor Wong,Michael Ritchie,400.0,1044,23,0,5.9,29.0,94.0,79817937,25000000,0.5584415584415584,9.647396884097779e-05
207,The Texas Chainsaw Massacre 2,20-12-1986,Color,Comedy,English,USA,X,Bill Johnson,Tobe Hooper,237.0,302,365,0,5.5,159.0,101.0,8025872,4700000,0.5064935064935064,6.466843523472504e-05
208,The Wraith,27-12-1986,Color,Action,English,USA,R,Clint Howard,Mike Marvin,1000.0,2319,28,0,5.9,70.0,93.0,3500000,2700000,0.5584415584415584,9.647396884097779e-05
209,Top Gun,17-10-1986,Color,Action,English,USA,PG,Tom Cruise,Tony Scott,10000.0,13069,12000,19000,6.9,173.0,110.0,176781728,15000000,0.6883116883116883,0.00026224343641975407
210,Witchboard,08-09-1986,Color,Horror,English,UK,R,Kathleen Wilhoite,Kevin Tenney,265.0,901,85,0,5.7,65.0,98.0,7369373,2000000,0.5324675324675323,7.89862051615955e-05
211,3 Men and a Baby,10-07-1987,Color,Comedy,English,USA,PG,Tom Selleck,Leonard Nimoy,19000.0,21499,12000,3000,5.9,21.0,102.0,167780960,11000000,0.5584415584415584,9.647396884097779e-05
212,A Nightmare on Elm Street 3: Dream Warriors,19-08-1987,Color,Action,English,USA,X,John Saxon,Chuck Russell,506.0,1584,55,0,6.6,131.0,88.0,44793200,4500000,0.6493506493506492,0.0001942747159539413
213,American Ninja 2: The Confrontation,16-06-1987,Color,Action,English,USA,R,Michael Dudikoff,Sam Firstenberg,615.0,872,44,583,4.7,40.0,90.0,4000000,350000,0.40259740259740256,2.9057401015100643e-05
214,Beverly Hills Cop II,01-07-1987,Color,Action,English,USA,R,Dean Stockwell,Tony Scott,936.0,4121,12000,0,6.4,50.0,100.0,153665036,28000000,0.6233766233766234,0.00015905868449698146
215,Creepshow 2,25-08-1987,Color,Comedy,English,USA,R,George Kennedy,Michael Gornick,3000.0,3617,10,1000,6.0,95.0,85.0,14000000,3500000,0.5714285714285714,0.00010662022471438481
216,Cry Freedom,14-08-1987,Color,Biography,English,UK,PG,Denzel Washington,Richard Attenborough,18000.0,18855,0,0,7.5,17.0,147.0,5899797,29000000,0.7662337662337662,0.0004778386957794468
217,Evil Dead II,06-04-1987,Color,Comedy,English,USA,X,Ted Raimi,Sam Raimi,634.0,1347,0,0,7.8,252.0,37.0,5923044,3600000,0.805194805194805,0.0006450147720985165
218,Fatal Attraction,14-08-1987,Color,Drama,English,USA,R,Fred Gwynne,Adrian Lyne,886.0,1639,213,3000,6.9,94.0,119.0,156645693,14000000,0.6883116883116883,0.00026224343641975407
219,From a Whisper to a Scream,15-04-1987,Color,Action,English,USA,R,Terry Kiser,Jeff Burr,448.0,1329,155,241,5.9,57.0,92.0,1400000,1100000,0.5584415584415584,9.647396884097779e-05
220,"Good Morning, Vietnam",22-03-1987,Color,Biography,English,USA,R,Robin Williams,Barry Levinson,49000.0,50141,272,0,7.3,62.0,121.0,123922370,13000000,0.7402597402597401,0.0003912212352453071
221,Hellraiser,18-04-1987,Color,Fantasy,English,UK,R,Andrew Robinson,Clive Barker,266.0,673,385,0,7.0,203.0,86.0,14564027,1000000,0.7012987012987012,0.0002898238193873322
222,Hollywood Shuffle,21-04-1987,Color,Comedy,English,USA,R,Robert Townsend,Robert Townsend,467.0,1431,467,471,7.0,21.0,81.0,5228617,100000,0.7012987012987012,0.0002898238193873322
223,Ishtar,16-03-1987,Color,Action,English,USA,PG-13,Carol Kane,Elaine May,636.0,3374,124,754,4.2,49.0,107.0,14375181,51000000,0.3376623376623376,1.7624204607223538e-05
224,Jaws: The Revenge,05-02-1987,Color,Adventure,English,USA,PG-13,Judith Barsi,Joseph Sargent,912.0,2355,114,0,2.8,80.0,92.0,20763013,23000000,0.15584415584415579,4.346075348026996e-06
225,La Bamba,05-11-1987,Color,Biography,English,USA,PG-13,Esai Morales,Luis Valdez,699.0,936,7,0,6.8,18.0,108.0,54215416,6500000,0.6753246753246751,0.00023728767390692747
226,Malone,15-02-1987,Color,Action,English,USA,R,Cliff Robertson,Harley Cokeliss,754.0,1891,4,208,5.6,27.0,92.0,3060858,10000000,0.5194805194805193,7.14696739388766e-05
227,Maurice,11-02-1987,Color,Drama,English,UK,R,Rupert Graves,James Ivory,443.0,1269,133,963,7.8,29.0,140.0,3130592,2600000,0.805194805194805,0.0006450147720985165
228,Predator,22-09-1987,Color,Action,English,USA,R,Shane Black,John McTiernan,1000.0,4223,323,13000,7.8,217.0,107.0,59735548,15000000,0.805194805194805,0.0006450147720985165
229,Prison,06-04-1987,Color,Crime,English,USA,R,Viggo Mortensen,Renny Harlin,10000.0,11083,212,314,5.9,68.0,102.0,354704,1300000,0.5584415584415584,9.647396884097779e-05
230,Radio Days,22-07-1987,Color,Comedy,English,USA,PG,Mike Starr,Woody Allen,854.0,1653,11000,0,7.6,64.0,88.0,14792779,16000000,0.7792207792207791,0.0005280934301066412
231,Spaceballs,09-11-1987,Color,Adventure,English,USA,PG,Joan Rivers,Mel Brooks,1000.0,2936,0,13000,7.1,103.0,96.0,38119483,22700000,0.7142857142857142,0.00032030485655248854
232,Superman IV: The Quest for Peace,30-08-1987,Color,Action,English,UK,PG,Jim Broadbent,Sidney J. Furie,1000.0,3007,22,1000,3.6,94.0,134.0,15681020,17000000,0.2597402597402597,9.672368565346227e-06
233,Teen Wolf Too,10-07-1987,Color,Comedy,English,USA,PG,John Astin,Christopher Leitch,641.0,1389,4,491,3.2,29.0,95.0,7888703,3000000,0.20779220779220778,6.483582541996554e-06
234,The Barbarians,09-12-1987,Color,Adventure,English,USA,R,Michael Berryman,Ruggero Deodato,721.0,1700,101,550,4.8,15.0,87.0,800000,4000000,0.4155844155844155,3.211339455675102e-05
235,The Last Emperor,09-11-1987,Color,Biography,English,China,PG-13,Cary-Hiroyuki Tagawa,Bernardo Bertolucci,1000.0,2451,973,0,7.8,75.0,219.0,43984230,23000000,0.805194805194805,0.0006450147720985165
236,The Living Daylights,22-06-1987,Color,Action,English,UK,PG,Joe Don Baker,John Glen,387.0,1233,46,0,6.7,105.0,130.0,51185897,30000000,0.6623376623376622,0.00021470676618970307
237,The Princess Bride,17-07-1987,Color,Adventure,English,USA,PG,Robin Wright,Rob Reiner,18000.0,20060,0,33000,8.1,185.0,98.0,30857814,16000000,0.844155844155844,0.0008706788711338108
238,The Running Man,29-03-1987,Color,Action,English,USA,R,Yaphet Kotto,Paul Michael Glaser,581.0,2373,343,0,6.6,120.0,101.0,38122105,27000000,0.6493506493506492,0.0001942747159539413
239,The Untouchables,15-10-1987,Color,Crime,English,USA,R,Robert De Niro,Brian De Palma,22000.0,22767,0,0,7.9,123.0,119.0,76270454,25000000,0.8181818181818181,0.0007128515678524725
240,Wall Street,03-04-1987,Color,Crime,English,USA,R,Hal Holbrook,Oliver Stone,826.0,1607,0,0,7.4,114.0,126.0,43848100,15000000,0.7532467532467533,0.0004323663317267452
241,A Nightmare on Elm Street 4: The Dream Master,01-01-1988,Color,Fantasy,English,USA,R,Tuesday Knight,Renny Harlin,130.0,450,212,0,5.7,102.0,99.0,49369900,7000000,0.5324675324675323,7.89862051615955e-05
242,Action Jackson,09-07-1988,Color,Action,English,USA,R,Bill Duke,Craig R. Baxley,1000.0,5282,22,978,5.2,35.0,96.0,20257000,7000000,0.46753246753246747,4.7907555124859926e-05
243,Akira,14-12-1988,Color,Action,Japanese,Japan,R,Mitsuo Iwata,Katsuhiro Ã”tomo,6.0,28,78,0,8.1,150.0,124.0,439162,1100000000,0.844155844155844,0.0008706788711338108
244,Beetlejuice,28-10-1988,Color,Comedy,English,USA,PG,Catherine O'Hara,Tim Burton,925.0,1953,13000,15000,7.5,109.0,92.0,73326666,15000000,0.7662337662337662,0.0004778386957794468
